time,close,boll_u,boll_l,boll_mid,atr,zscore,band_width,signal
2024-09-05 05:25:00,2497.34,2498.778844112456,2494.694155887544,2496.7365,1.0862032801149883,0.2954937888867127,0.0016360109386443,0.0
2024-09-05 05:30:00,2497.88,2498.823764170314,2494.9282358296864,2496.876,1.0693316172496257,0.5154628138775915,0.0015601609133283,0.0
2024-09-05 05:35:00,2498.25,2498.8731018392104,2495.19989816079,2497.0365,1.0350936445889485,0.6607311253274291,0.0014710252246695,0.0
2024-09-05 05:40:00,2498.26,2498.8941911662173,2495.4808088337827,2497.1875,1.001872669975464,0.6284089478105771,0.0013668906849944,0.0
2024-09-05 05:45:00,2498.28,2498.884127913532,2495.777872086468,2497.331,0.9724531935486228,0.6110250107100836,0.0012438302439941,0.0
2024-09-05 05:50:00,2497.71,2498.920225506386,2495.8137744936143,2497.367,0.9615636797237004,0.2208307799412619,0.0012438904705522,0.0
2024-09-05 05:55:00,2498.66,2499.015450254441,2495.9845497455585,2497.5,0.9921662740291738,0.7654490779886249,0.0012135737773305,0.0
2024-09-05 06:00:00,2498.11,2499.0643983787263,2495.985601621274,2497.525,0.9677258258842392,0.3800185891348651,0.0012327391147045,0.0
2024-09-05 06:05:00,2497.88,2498.9115169802008,2496.0474830198,2497.4795000000004,0.9721739811782364,0.2796754546469795,0.0011467697574297,0.0
2024-09-05 06:10:00,2497.69,2498.870828657004,2496.051171342996,2497.461,0.9870186968083832,0.1624310861200291,0.0011290095476996,0.0
2024-09-05 06:15:00,2496.88,2498.865576315595,2495.9984236844048,2497.432,1.0058030756077845,-0.3850510042575356,0.0011480403194921,0.0
2024-09-05 06:20:00,2496.53,2498.877353091641,2495.8986469083584,2497.388,0.9968171416358076,-0.5760890448443295,0.0011927286361923,0.0
2024-09-05 06:25:00,2496.95,2498.848387344479,2495.856612655521,2497.3525,0.97990163151898,-0.2690710643991454,0.0011979785348515,0.0
2024-09-05 06:30:00,2496.89,2498.8337083402325,2495.9062916597672,2497.37,0.9484800864104788,-0.3279341838851083,0.0011721998264034,0.0
2024-09-05 06:35:00,2496.57,2498.815446895057,2495.9465531049423,2497.381,0.9421600802382784,-0.565374711879546,0.0011487609580257,0.0
2024-09-05 06:40:00,2496.28,2498.8343904396816,2495.907609560318,2497.371,0.9184343602212351,-0.7455289924111943,0.0011719447688641,0.0
2024-09-05 06:45:00,2496.06,2498.879887743537,2495.8171122564627,2497.3485,0.8928319059197145,-0.8413937002158473,0.0012264109262582,0.0
2024-09-05 06:50:00,2496.37,2498.893279430993,2495.7077205690075,2497.3005000000003,0.8876296269254283,-0.5841989053188698,0.0012756009386878,0.0
2024-09-05 06:55:00,2495.47,2499.01138196978,2495.47861803022,2497.245,0.8927989392879003,-1.0048789165466576,0.0014146645361428,0.0
2024-09-05 07:00:00,2494.92,2499.1946773424665,2495.103322657534,2497.1490000000003,0.8933133007673426,-1.0896146492550265,0.0016384103170985,0.0
2024-09-05 07:05:00,2494.55,2499.358380808521,2494.6606191914784,2497.0095,0.8845052078553883,-1.047094425173441,0.0018813551238161,0.0
