time,close,boll_u,boll_l,boll_mid,atr,zscore,band_width
2024-09-05 03:45:00,,,,,,,
2024-09-05 03:50:00,2495.09,,,,0.9099999999998545,,
2024-09-05 03:55:00,2495.04,,,,0.8864285714284311,,
2024-09-05 04:00:00,2495.24,,,,0.8645408163263952,,
2024-09-05 04:05:00,2495.41,,,,0.8942164723030631,,
2024-09-05 04:10:00,2496.99,,,,0.9567724385671288,,
2024-09-05 04:15:00,2496.0,,,,1.012002978669478,,
2024-09-05 04:20:00,2497.61,,,,1.0768599087645205,,
2024-09-05 04:25:00,2498.79,,,,1.1320842009956198,,
2024-09-05 04:30:00,2498.06,,,,1.1526496152102235,,
2024-09-05 04:35:00,2497.46,,,,1.1553174998380686,,
2024-09-05 04:40:00,2497.41,,,,1.2042233927067885,,
2024-09-05 04:45:00,2497.66,,,,1.1782074360848855,,
2024-09-05 04:50:00,2496.54,,,,1.2054783335073898,,
2024-09-05 04:55:00,2496.35,,,,1.1929441668282723,,
2024-09-05 05:00:00,2496.48,,,,1.1563052977691308,,
2024-09-05 05:05:00,2496.51,,,,1.1587120622141969,,
2024-09-05 05:10:00,2497.33,,,,1.1595183434845842,,
2024-09-05 05:15:00,2496.58,,,,1.1409813189499451,,
2024-09-05 05:20:00,2496.84,,,,1.1159112247392322,,
2024-09-05 05:25:00,2497.34,2498.778844112456,2494.6941558875437,2496.7365,1.0862032801149883,0.2954937888867127,0.0016360109386443053
2024-09-05 05:30:00,2497.88,2498.823764170314,2494.9282358296864,2496.876,1.0693316172496257,0.5154628138775915,0.0015601609133283375
2024-09-05 05:35:00,2498.25,2498.8731018392104,2495.19989816079,2497.0365,1.0350936445889485,0.6607311253274291,0.0014710252246695542
2024-09-05 05:40:00,2498.26,2498.8941911662173,2495.4808088337827,2497.1875,1.0018726699754639,0.6284089478105771,0.0013668906849944563
2024-09-05 05:45:00,2498.28,2498.884127913532,2495.777872086468,2497.331,0.9724531935486229,0.6110250107100836,0.0012438302439941522
2024-09-05 05:50:00,2497.71,2498.920225506386,2495.8137744936143,2497.367,0.9615636797237005,0.22083077994126193,0.0012438904705522598
2024-09-05 05:55:00,2498.66,2499.0154502544415,2495.9845497455585,2497.5,0.9921662740291738,0.7654490779886249,0.0012135737773305108
